company_name,role,country,date,hr_name
Softship GmbH - part of the WiseTech Global group - Business Unit 02,Manufacturing Engineer,Germany,30-04-2026,Hiring Manager
Autodiscovery GmbH,Production Engineer,Germany,30-04-2026,Hiring Manager
TechMinds GmbH - Business Unit 01,Process Engineer,Germany,30-04-2026,Hiring Manager
Alster Gloss Autoaufbereitung Hamburg | Reinigung | Politur | Handwaesche,Quality Engineer,Germany,30-04-2026,Hiring Manager
PD-Technik Maschinenbau GmbH,Industrial Engineer,Germany,30-04-2026,Hiring Manager
Hoppe Marine GmbH - Business Unit 13,Mechanical Engineer Production,Germany,30-04-2026,Hiring Manager
Hoppe Marine GmbH - Business Unit 14,Manufacturing Operations Engineer,Germany,30-04-2026,Hiring Manager
Hoppe Marine GmbH - Business Unit 15,Process Improvement Engineer,Germany,30-04-2026,Hiring Manager
Hoppe Marine GmbH - Business Unit 16,Production Executive,Germany,30-04-2026,Hiring Manager
Harms & Wende GmbH & Co. KG,Plant Engineer,Germany,30-04-2026,Hiring Manager
PulseTech Hamburg Vertriebs GmbH - Business Unit 01,Quality Control Engineer,Germany,30-04-2026,Hiring Manager
PulseTech Hamburg Vertriebs GmbH - Business Unit 02,Continuous Improvement Engineer,Germany,30-04-2026,Hiring Manager
MAA Maschinenservice,Production Supervisor,Germany,30-04-2026,Hiring Manager
Leschinski GmbH,Operations Engineer Manufacturing,Germany,30-04-2026,Hiring Manager
Maschinenbau-Palm - Dreherei und Maschinenbau (CNC Drehen & CNC Fraesen),Process Development Engineer,Germany,30-04-2026,Hiring Manager
Bardenhagen Maschinenbau Berlin GmbH,Industrial Production Engineer,Germany,30-04-2026,Hiring Manager
STELU Maschinenbau - Business Unit 01,Engineering Executive Manufacturing,Germany,30-04-2026,Hiring Manager
STELU Maschinenbau - Business Unit 02,Production Analyst,Germany,30-04-2026,Hiring Manager
STELU Maschinenbau - Business Unit 03,Manufacturing Specialist,Germany,30-04-2026,Hiring Manager
STELU Maschinenbau - Business Unit 04,Plant Operations Engineer,Germany,30-04-2026,Hiring Manager
Scherpe Maschinenbau GmbH - Drehen & Fraesen,Manufacturing Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 01,Production Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 02,Process Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 03,Quality Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 04,Industrial Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 05,Mechanical Engineer Production,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 06,Manufacturing Operations Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 07,Process Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 09,Plant Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 10,Quality Control Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 11,Continuous Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 12,Production Supervisor,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 13,Operations Engineer Manufacturing,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 14,Process Development Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 15,Industrial Production Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 16,Engineering Executive Manufacturing,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 17,Production Analyst,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 19,Plant Operations Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 20,Manufacturing Engineer,Germany,30-04-2026,Hiring Manager
