company_name,role,country,date,hr_name
Innoface AG a,Backend Engineer,Germany,04-04-2026,Hiring Manager
Innoface AG b,Java Developer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Software Engineer (Backend),Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Spring Boot Developer,Germany,04-04-2026,Hiring Manager
arconsis a,Microservices Engineer,Germany,04-04-2026,Hiring Manager
arconsis b,API Developer,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Backend Software Developer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Java Microservices Developer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Platform Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Software Development Engineer,Germany,04-04-2026,Hiring Manager
