company_name,role,country,date,hr_name
Innoface AG a,Digital Marketing Executive,Germany,02-04-2026,Hiring Manager
Innoface AG b,SEO Specialist,Germany,02-04-2026,Hiring Manager
generic.de software technologies AG a,Social Media Manager,Germany,02-04-2026,Hiring Manager
generic.de software technologies AG b,Performance Marketing Executive,Germany,02-04-2026,Hiring Manager
arconsis a,Growth Marketing Executive,Germany,02-04-2026,Hiring Manager
arconsis b,Content Marketing Specialist,Germany,02-04-2026,Hiring Manager
cjt Systemsoftware AG a,Lead Generation Specialist,Germany,02-04-2026,Hiring Manager
IT-Choice Software GmbH a,Digital Marketing Analyst,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH a,SEO Analyst,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH b,Marketing Operations Executive,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH c,Digital Marketing Executive,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH d,SEO Specialist,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH e,Social Media Manager,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH f,Performance Marketing Executive,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH g,Growth Marketing Executive,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH h,Content Marketing Specialist,Germany,02-04-2026,Hiring Manager
Vector Informatik GmbH i,Lead Generation Specialist,Germany,02-04-2026,Hiring Manager
