company_name,role,country,date,hr_name
Euro Vital Pharma GmbH a,Quality Assurance Manager,Germany,30-04-2026,Hiring Manager
Polypharma Technologies & Sciences GmbH a,QA Specialist,Germany,30-04-2026,Hiring Manager
AqVida GmbH a,Senior QA Executive,Germany,30-04-2026,Hiring Manager
Laurus Labs c,GMP Compliance Specialist,Germany,30-04-2026,Hiring Manager
Inceptua GmbH,Quality Systems Specialist,Germany,30-04-2026,Hiring Manager
DR. KADE Pharmazeutische Fabrik GmbH,Validation Specialist,Germany,30-04-2026,Hiring Manager
Heilpflanzenwohl GmbH,Process Validation Specialist,Germany,30-04-2026,Hiring Manager
Heilpflanzenwohl GmbH - a,Cleaning Validation Specialist,Germany,30-04-2026,Hiring Manager
Phytolife Pharma GmbH,CAPA Specialist,Germany,30-04-2026,Hiring Manager
Sanity Group,Deviation Management Specialist,Germany,30-04-2026,Hiring Manager
