company_name,role,country,date,hr_name
Vector Informatik GmbH bc,Senior RPA Developer,Germany,27-04-2026,Hiring Manager
DSC Software AG a,RPA Developer,Germany,27-04-2026,Hiring Manager
emmtrix Technologies GmbH a,RPA Consultant,Germany,27-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Automation Engineer,Germany,27-04-2026,Hiring Manager
MCC Software Engineering a,Intelligent Automation Engineer,Germany,27-04-2026,Hiring Manager
Jamit Labs GmbH a,UiPath Developer,Germany,27-04-2026,Hiring Manager
CodeWrights GmbH a,Process Automation Specialist,Germany,27-04-2026,Hiring Manager
CodeWrights GmbH b,RPA Solution Architect,Germany,27-04-2026,Hiring Manager
n-komm GmbH a,Automation Consultant,Germany,27-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Digital Transformation Engineer,Germany,27-04-2026,Hiring Manager
Pharmakon Software GmbH a,Senior RPA Developer,Germany,27-04-2026,Hiring Manager
awesome information technology GmbH a,RPA Developer,Germany,27-04-2026,Hiring Manager
DATEX Software GmbH a,RPA Consultant,Germany,27-04-2026,Hiring Manager
