company_name,role,country,date,hr_name
TEKDynamics GmbH a,Salesforce QA Lead,Germany,13-04-2026,Hiring Manager
TAMA Systemtechnik GmbH a,Salesforce QA Engineer,Germany,13-04-2026,Hiring Manager
Blue Line Entertainment a,QA Lead,Germany,13-04-2026,Hiring Manager
avanito GmbH a,Test Lead,Germany,13-04-2026,Hiring Manager
Exantas Automotive GmbH a,Senior QA Engineer,Germany,13-04-2026,Hiring Manager
PCialist GbR. - Jason Plows & Müslüm Kirpac a,Software Test Engineer,Germany,13-04-2026,Hiring Manager
Connected Ops GmbH a,Salesforce Tester,Germany,13-04-2026,Hiring Manager
Cluebiz Technologies GmbH a,CRM QA Engineer,Germany,13-04-2026,Hiring Manager
Cluebiz Technologies GmbH b,Automation Test Engineer,Germany,13-04-2026,Hiring Manager
CAIQ GmbH a,Manual Test Engineer,Germany,13-04-2026,Hiring Manager
totorio IT GmbH a,QA Analyst,Germany,13-04-2026,Hiring Manager
ITmedia GmbH a,Quality Assurance Engineer,Germany,13-04-2026,Hiring Manager
2-Sigma-GmbH a,UAT Test Lead,Germany,13-04-2026,Hiring Manager
